Name,Genre,Platform,Publisher
Donkey Kong Country,Platform,Super Nintendo Entertainment System,Nintendo
Minecraft,Misc,Xbox 360,Microsoft Game Studios
Animal Crossing: New Leaf,Simulation,Nintendo 3DS,Nintendo
Mario Party DS,Misc,Nintendo DS,Nintendo
The Elder Scrolls V: Skyrim,Role-Playing,Xbox 360,Bethesda Softworks
Super Mario Kart,Racing,Super Nintendo Entertainment System,Nintendo
FIFA 16,Sports,PlayStation 4,Electronic Arts
Wii Party,Misc,Nintendo Wii,Nintendo
Halo 2,Shooter,Xbox,Microsoft Game Studios
Mario Party 8,Misc,Nintendo Wii,Nintendo
Pokemon Black 2/Pokemon White 2,Role-Playing,Nintendo DS,Nintendo
FIFA Soccer 13,Action,PlayStation 3,Electronic Arts
The Sims 3,Simulation,PC,Electronic Arts
GoldenEye 007,Shooter,Nintendo 64,Nintendo
Mario & Sonic at the Olympic Games,Sports,Nintendo Wii,Sega
Final Fantasy X,Role-Playing,PlayStation 2,Sony Computer Entertainment
Final Fantasy VIII,Role-Playing,PlayStation,SquareSoft
Pokémon Platinum Version,Role-Playing,Nintendo DS,Nintendo
Pac-Man,Puzzle,Atari 2600,Atari
Grand Theft Auto: Liberty City Stories,Action,PlayStation Portable,Take-Two Interactive
Super Mario Galaxy 2,Platform,Nintendo Wii,Nintendo
Star Wars Battlefront (2015),Shooter,PlayStation 4,Electronic Arts
Call of Duty: Advanced Warfare,Shooter,PlayStation 4,Activision
The Legend of Zelda: Ocarina of Time,Action,Nintendo 64,Nintendo
Crash Bandicoot 2: Cortex Strikes Back,Platform,PlayStation,Sony Computer Entertainment
Super Mario Bros. 2,Platform,Nintendo Entertainment System,Nintendo
Super Smash Bros. for Wii U and 3DS,Fighting,Nintendo 3DS,Nintendo
Call of Duty: World at War,Shooter,Xbox 360,Activision
Battlefield 3,Shooter,Xbox 360,Electronic Arts
The Legend of Zelda: Twilight Princess,Action,Nintendo Wii,Nintendo
Call of Duty: Black Ops 3,Shooter,Xbox One,Activision
Just Dance,Misc,Nintendo Wii,Ubisoft
Battlefield 3,Shooter,PlayStation 3,Electronic Arts
Need for Speed Underground,Racing,PlayStation 2,Electronic Arts
Tekken 3,Fighting,PlayStation,Sony Computer Entertainment
Crash Bandicoot 3: Warped,Platform,PlayStation,Sony Computer Entertainment
Super Smash Bros. Melee,Fighting,GameCube,Nintendo
Mario Kart 8,Racing,Wii U,Nintendo
Fallout 4,Role-Playing,PlayStation 4,Bethesda Softworks
Mario Kart: Double Dash!!,Racing,GameCube,Nintendo
Just Dance 4,Misc,Nintendo Wii,Ubisoft
FIFA 14,Sports,PlayStation 3,Electronic Arts
Need for Speed Underground 2,Racing,PlayStation 2,Electronic Arts
Medal of Honor: Frontline,Shooter,PlayStation 2,Electronic Arts
Uncharted 3: Drake's Deception,Action,PlayStation 3,Sony Computer Entertainment
Crash Bandicoot,Platform,PlayStation,Sony Computer Entertainment
Zumba Fitness,Sports,Nintendo Wii,505 Games
Gears of War 2,Shooter,Xbox 360,Microsoft Game Studios
Uncharted 2: Among Thieves,Action,PlayStation 3,Sony Computer Entertainment
Call of Duty 4: Modern Warfare,Shooter,PlayStation 3,Activision
FIFA 12,Sports,PlayStation 3,Electronic Arts
Big Brain Academy,Misc,Nintendo DS,Nintendo
Red Dead Redemption,Action,PlayStation 3,Take-Two Interactive
FIFA 15,Sports,PlayStation 4,Electronic Arts
Donkey Kong Country Returns,Platform,Nintendo Wii,Nintendo
The Elder Scrolls V: Skyrim,Role-Playing,PlayStation 3,Bethesda Softworks
The Legend of Zelda,Action,Nintendo Entertainment System,Nintendo
Assassin's Creed III,Action,PlayStation 3,Ubisoft
Halo: Combat Evolved,Shooter,Xbox,Microsoft Game Studios
Pokémon Emerald Version,Role-Playing,Game Boy Advance,Nintendo
Kingdom Hearts,Role-Playing,PlayStation 2,Sony Computer Entertainment
Pokémon Crystal Version,Role-Playing,Game Boy,Nintendo
Halo 3: ODST,Shooter,Xbox 360,Microsoft Game Studios
Red Dead Redemption,Action,Xbox 360,Take-Two Interactive
Super Mario Sunshine,Platform,GameCube,Nintendo
Street Fighter II: The World Warrior,Fighting,Super Nintendo Entertainment System,Capcom
World of Warcraft,Role-Playing,PC,Activision
Driver,Action,PlayStation,GT Interactive
Kinect Sports,Sports,Xbox 360,Microsoft Game Studios
Gears of War 3,Shooter,Xbox 360,Microsoft Game Studios
Gears of War,Shooter,Xbox 360,Microsoft Game Studios
Metal Gear Solid 2: Sons of Liberty,Action,PlayStation 2,Konami Digital Entertainment
Sonic the Hedgehog 2,Platform,Sega Genesis,Sega
Metal Gear Solid 4: Guns of the Patriots,Action,PlayStation 3,Konami Digital Entertainment
Metal Gear Solid,Action,PlayStation,Konami Digital Entertainment
The Last of Us,Action,PlayStation 3,Sony Computer Entertainment Europe
Final Fantasy XII,Role-Playing,PlayStation 2,Square Enix
LittleBigPlanet,Platform,PlayStation 3,Sony Computer Entertainment
Dragon Quest IX: Sentinels of the Starry Skies,Role-Playing,Nintendo DS,Nintendo
LEGO Star Wars: The Complete Saga,Action,Nintendo Wii,LucasArts
Resident Evil 2,Action,PlayStation,Virgin Interactive
Tekken 2,Fighting,PlayStation,Sony Computer Entertainment
Cooking Mama,Simulation,Nintendo DS,505 Games
Destiny,Shooter,PlayStation 4,Activision
Tetris,Puzzle,Nintendo Entertainment System,Nintendo
Assassin's Creed II,Action,PlayStation 3,Ubisoft
Super Smash Bros.,Fighting,Nintendo 64,Nintendo
Assassin's Creed,Adventure,Xbox 360,Ubisoft
Batman: Arkham City,Action,PlayStation 3,Warner Bros. Interactive Entertainment
Forza Motorsport 3,Racing,Xbox 360,Microsoft Game Studios
Monster Hunter Freedom Unite,Role-Playing,PlayStation Portable,Capcom
Super Mario Advance,Platform,Game Boy Advance,Nintendo
Mario Kart: Super Circuit,Racing,Game Boy Advance,Nintendo
Super Mario World,Platform,Game Boy Advance,Nintendo
Pokemon Stadium,Strategy,Nintendo 64,Nintendo
Call of Duty: World at War,Shooter,PlayStation 3,Activision
Crash Bandicoot: The Wrath of Cortex,Platform,PlayStation 2,Universal Interactive
Minecraft,Misc,PlayStation 3,Sony Computer Entertainment
Final Fantasy XIII,Role-Playing,PlayStation 3,Square Enix
Dr. Mario,Puzzle,Game Boy,Nintendo
Pokemon Pinball,Misc,Game Boy,Nintendo
Assassin's Creed III,Action,Xbox 360,Ubisoft
Final Fantasy IX,Role-Playing,PlayStation,SquareSoft
Final Fantasy X-2,Role-Playing,PlayStation 2,Electronic Arts
Donkey Kong 64,Platform,Nintendo 64,Nintendo
Assassin's Creed II,Action,Xbox 360,Ubisoft
Professor Layton and the Curious Village,Puzzle,Nintendo DS,Nintendo
Tomb Raider II,Action,PlayStation,Eidos Interactive
Madden NFL 2004,Sports,PlayStation 2,Electronic Arts
Dragon Quest VIII: Journey of the Cursed King,Role-Playing,PlayStation 2,Square Enix
Diablo III,Role-Playing,PC,Activision
Super Mario Bros. 3,Platform,Game Boy Advance,Nintendo
New Super Mario Bros. U,Platform,Wii U,Nintendo
Super Mario Land 3: Wario Land,Platform,Game Boy,Nintendo
FIFA Soccer 13,Action,Xbox 360,Electronic Arts
The Legend of Zelda: Phantom Hourglass,Action,Nintendo DS,Nintendo
Donkey Kong Country 2: Diddy's Kong Quest,Platform,Super Nintendo Entertainment System,Nintendo
Tomodachi Life,Simulation,Nintendo 3DS,Nintendo
Mario & Sonic at the Olympic Games,Sports,Nintendo DS,Sega
Medal of Honor: Rising Sun,Shooter,PlayStation 2,Electronic Arts
Kirby's Dream Land,Platform,Game Boy,Nintendo
Fable III,Role-Playing,Xbox 360,Microsoft Game Studios
Call of Duty: Advanced Warfare,Shooter,Xbox One,Activision
Microsoft Flight Simulator,Simulation,PC,Microsoft Game Studios
Guitar Hero II,Misc,PlayStation 2,RedOctane
Resident Evil 5,Action,PlayStation 3,Capcom
Grand Theft Auto V,Action,Xbox One,Take-Two Interactive
Grand Theft Auto: Vice City Stories,Action,PlayStation Portable,Take-Two Interactive
FIFA Soccer 11,Sports,PlayStation 3,Electronic Arts
Super Mario Bros.,Platform,Game Boy,Nintendo
Resident Evil,Action,PlayStation,Virgin Interactive
Tony Hawk's Pro Skater,Sports,PlayStation,Activision
Super Smash Bros. for Wii U and 3DS,Fighting,Wii U,Nintendo
Warzone 2100,Strategy,PlayStation,Eidos Interactive
Spyro the Dragon,Platform,PlayStation,Sony Computer Entertainment
Link's Crossbow Training,Shooter,Nintendo Wii,Nintendo
Guitar Hero III: Legends of Rock,Misc,PlayStation 2,Activision
Fallout 3,Role-Playing,Xbox 360,Bethesda Softworks
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,Role-Playing,Nintendo DS,Nintendo
Uncharted: Drake's Fortune,Action,PlayStation 3,Sony Computer Entertainment
Madden NFL 06,Sports,PlayStation 2,Electronic Arts
LEGO Star Wars: The Complete Saga,Action,Nintendo DS,LucasArts
Diddy Kong Racing,Racing,Nintendo 64,Nintendo
Monster Hunter Freedom 3,Role-Playing,PlayStation Portable,Capcom
Dr. Mario,Puzzle,Nintendo Entertainment System,Nintendo
God of War III,Action,PlayStation 3,Sony Computer Entertainment
StarCraft II: Wings of Liberty,Strategy,PC,Activision
Assassin's Creed,Adventure,PlayStation 3,Ubisoft
FIFA 15,Sports,PlayStation 3,Electronic Arts
Crash Team Racing,Racing,PlayStation,Sony Computer Entertainment
FIFA 17,Sports,PlayStation 4,Electronic Arts
Batman: Arkham City,Action,Xbox 360,Warner Bros. Interactive Entertainment
Driver 2,Action,PlayStation,Atari
The Simpsons: Hit & Run,Racing,PlayStation 2,Vivendi Games
Tony Hawk's Pro Skater 2,Sports,PlayStation,Activision
Animal Crossing: City Folk,Simulation,Nintendo Wii,Nintendo
The Lord of the Rings: The Two Towers,Action,PlayStation 2,Electronic Arts
Forza Motorsport 4,Racing,Xbox 360,Microsoft Game Studios
Tomb Raider,Action,PlayStation,Eidos Interactive
Guitar Hero III: Legends of Rock,Misc,Nintendo Wii,Activision
The Legend of Zelda: A Link to the Past,Action,Super Nintendo Entertainment System,Nintendo
The Legend of Zelda: The Wind Waker,Action,GameCube,Nintendo
Mario & Sonic at the Olympic Winter Games,Sports,Nintendo Wii,Sega
Luigi's Mansion: Dark Moon,Action,Nintendo 3DS,Nintendo
Splatoon,Shooter,Wii U,Nintendo
The Last of Us,Action,PlayStation 4,Sony Computer Entertainment
Guitar Hero III: Legends of Rock,Misc,Xbox 360,Activision
Madden NFL 2005,Sports,PlayStation 2,Electronic Arts
Pitfall!,Platform,Atari 2600,Activision
Madden NFL 07,Sports,PlayStation 2,Electronic Arts
Spider-Man: The Movie,Action,PlayStation 2,Activision
Dragon Quest VII: Warriors of Eden,Role-Playing,PlayStation,Enix Corporation
Uncharted: The Nathan Drake Collection,Action,PlayStation 4,Sony Computer Entertainment
Call of Duty: Advanced Warfare,Shooter,PlayStation 3,Activision
God of War,Action,PlayStation 2,Sony Computer Entertainment
Nintendo Land,Misc,Wii U,Nintendo
Michael Jackson: The Experience,Misc,Nintendo Wii,Ubisoft
Tony Hawk's Pro Skater 3,Sports,PlayStation 2,Activision
Winning Eleven: Pro Evolution Soccer 2007,Sports,PlayStation 2,Konami Digital Entertainment
The Elder Scrolls IV: Oblivion,Role-Playing,Xbox 360,Take-Two Interactive
Zelda II: The Adventure of Link,Adventure,Nintendo Entertainment System,Nintendo
Need for Speed: Most Wanted,Racing,PlayStation 2,Electronic Arts
Resistance: Fall of Man,Shooter,PlayStation 3,Sony Computer Entertainment
Sonic the Hedgehog,Platform,Sega Genesis,Sega
Kingdom Hearts II,Role-Playing,PlayStation 2,Square Enix
FIFA 14,Sports,Xbox 360,Electronic Arts
Call of Duty: Advanced Warfare,Shooter,Xbox 360,Activision
Asteroids,Shooter,Atari 2600,Atari
Fable II,Role-Playing,Xbox 360,Microsoft Game Studios
Halo 5: Guardians,Shooter,Xbox One,Microsoft Game Studios
Super Mario 3D World,Platform,Wii U,Nintendo
Batman: Arkham Asylum,Action,PlayStation 3,Eidos Interactive
Assassin's Creed: Revelations,Action,PlayStation 3,Ubisoft
Namco Museum,Misc,Game Boy Advance,Namco Bandai Games
Metal Gear Solid 3: Snake Eater,Action,PlayStation 2,Konami Digital Entertainment
Daxter,Platform,PlayStation Portable,Sony Computer Entertainment
Warcraft II: Tides of Darkness,Strategy,PC,Activision
The Legend of Zelda: Ocarina of Time,Action,Nintendo 3DS,Nintendo
FIFA Soccer 06,Sports,PlayStation 2,Electronic Arts
EyeToy Play,Misc,PlayStation 2,Sony Computer Entertainment
Uncharted 4: A Thief's End,Shooter,PlayStation 4,Sony Computer Entertainment
Gran Turismo 5 Prologue,Racing,PlayStation 3,Sony Computer Entertainment
Assassin's Creed: Revelations,Action,Xbox 360,Ubisoft
Street Fighter IV,Fighting,PlayStation 3,Capcom
FIFA 12,Sports,Xbox 360,Electronic Arts
Teenage Mutant Ninja Turtles,Action,Nintendo Entertainment System,Palcom
Excitebike,Racing,Nintendo Entertainment System,Nintendo
Frogger,Action,PlayStation,Hasbro Interactive
Madden NFL 2003,Sports,PlayStation 2,Electronic Arts
Watch Dogs,Action,PlayStation 4,Ubisoft
Half-Life,Shooter,PC,Vivendi Games
Super Mario World 2: Yoshi's Island,Platform,Super Nintendo Entertainment System,Nintendo
FIFA Soccer 07,Sports,PlayStation 2,Electronic Arts
The Legend of Zelda: Skyward Sword,Action,Nintendo Wii,Nintendo
Street Fighter II Turbo,Fighting,Super Nintendo Entertainment System,Capcom
Carnival Games,Misc,Nintendo Wii,Take-Two Interactive
Fallout 4,Role-Playing,Xbox One,Bethesda Softworks
World of Warcraft: The Burning Crusade,Role-Playing,PC,Activision
Fallout: New Vegas,Role-Playing,Xbox 360,Bethesda Softworks
God of War II,Action,PlayStation 2,Sony Computer Entertainment
Forza Motorsport 2,Racing,Xbox 360,Microsoft Game Studios
World Soccer Winning Eleven 9,Sports,PlayStation 2,Konami Digital Entertainment
Namco Museum Vol.3,Misc,PlayStation,Sony Computer Entertainment
Tekken Tag Tournament,Fighting,PlayStation 2,Namco Bandai Games
Far Cry 4,Shooter,PlayStation 4,Ubisoft
Star Fox 64,Shooter,Nintendo 64,Nintendo
Minecraft,Misc,PlayStation 4,Sony Computer Entertainment Europe
Golf,Sports,Nintendo Entertainment System,Nintendo
Fallout 3,Role-Playing,PlayStation 3,Bethesda Softworks
Professor Layton and the Diabolical Box,Puzzle,Nintendo DS,Nintendo
Left 4 Dead 2,Shooter,Xbox 360,Electronic Arts
Namco Museum: 50th Anniversary,Misc,PlayStation 2,Namco Bandai Games
EA Sports Active,Sports,Nintendo Wii,Electronic Arts
Assassin's Creed: Unity,Action,PlayStation 4,Ubisoft
Donkey Kong Land,Platform,Game Boy,Nintendo
Tony Hawk's Underground,Sports,PlayStation 2,Activision
Assassin's Creed IV: Black Flag,Action,PlayStation 3,Ubisoft
Monster Hunter 4 Ultimate,Role-Playing,Nintendo 3DS,Nintendo
MotorStorm,Racing,PlayStation 3,Sony Computer Entertainment
The Elder Scrolls V: Skyrim,Role-Playing,PC,Bethesda Softworks
Tekken 5,Fighting,PlayStation 2,Namco Bandai Games
Dragon Warrior III,Role-Playing,Nintendo Entertainment System,Enix Corporation
Sports Champions,Sports,PlayStation 3,Sony Computer Entertainment
NBA 2K16,Sports,PlayStation 4,Take-Two Interactive
World Soccer Winning Eleven 8 International,Sports,PlayStation 2,Konami Digital Entertainment
Flash Focus: Vision Training in Minutes a Day,Misc,Nintendo DS,Nintendo
Namco Museum Vol.1,Misc,PlayStation,Sony Computer Entertainment
The Legend of Zelda: Link's Awakening,Action,Game Boy,Nintendo
Mario & Luigi: Bowser's Inside Story,Role-Playing,Nintendo DS,Nintendo
Big Brain Academy: Wii Degree,Misc,Nintendo Wii,Nintendo
Nintendogs + cats,Simulation,Nintendo 3DS,Nintendo
Batman: Arkham Knight,Action,PlayStation 4,Warner Bros. Interactive Entertainment
Mario & Sonic at the London 2012 Olympic Games,Sports,Nintendo Wii,Sega
LEGO Indiana Jones: The Original Adventures,Action,Xbox 360,Activision
Resident Evil Director's Cut,Action,PlayStation,Virgin Interactive
Ratchet & Clank: Size Matters,Platform,PlayStation Portable,Sony Computer Entertainment
Just Dance 2014,Misc,Nintendo Wii,Ubisoft
The Sims: Unleashed,Simulation,PC,Electronic Arts
Super Paper Mario,Platform,Nintendo Wii,Nintendo
Harry Potter and the Sorcerer's Stone,Action,PlayStation,Electronic Arts
The Witcher 3: Wild Hunt,Role-Playing,PlayStation 4,Namco Bandai Games
Resident Evil 3: Nemesis,Action,PlayStation,Eidos Interactive
Spyro: Year of the Dragon,Platform,PlayStation,Sony Computer Entertainment
FIFA Soccer 2005,Sports,PlayStation 2,Electronic Arts
Pokémon Trading Card Game,Strategy,Game Boy,Nintendo
Battlefield 4,Shooter,PlayStation 3,Electronic Arts
MySims,Simulation,Nintendo DS,Electronic Arts
Friend Collection,Misc,Nintendo DS,Nintendo
Tony Hawk's Pro Skater 4,Sports,PlayStation 2,Activision
Midnight Club 3: DUB Edition,Racing,PlayStation Portable,Take-Two Interactive
Banjo-Kazooie,Platform,Nintendo 64,Nintendo
SOCOM: U.S. Navy SEALs,Shooter,PlayStation 2,Sony Computer Entertainment
Guitar Hero: World Tour,Misc,Nintendo Wii,Activision
Gran Turismo 6,Racing,PlayStation 3,Sony Computer Entertainment
Jak and Daxter: The Precursor Legacy,Platform,PlayStation 2,Sony Computer Entertainment
Pokemon Snap,Simulation,Nintendo 64,Nintendo
FIFA Soccer 10,Sports,PlayStation 3,Electronic Arts
Pro Evolution Soccer 2008,Sports,PlayStation 2,Konami Digital Entertainment
Call of Duty: Ghosts,Shooter,PlayStation 4,Activision
Resident Evil 4,Action,PlayStation 2,Capcom
Tom Clancy's The Division,Shooter,PlayStation 4,Ubisoft
Star Wars: Battlefront,Shooter,PlayStation 2,LucasArts
Doom II: Hell on Earth,Shooter,PC,Virgin Interactive
The Simpsons: Road Rage,Racing,PlayStation 2,Electronic Arts
Cooking Mama 2: Dinner With Friends,Simulation,Nintendo DS,505 Games
Luigi's Mansion,Action,GameCube,Nintendo
Star Wars: Battlefront II,Shooter,PlayStation 2,LucasArts
WWF SmackDown!,Fighting,PlayStation,THQ
Croc: Legend of the Gobbos,Platform,PlayStation,Fox Interactive
Grand Theft Auto: Liberty City Stories,Action,PlayStation 2,Take-Two Interactive
The Getaway,Action,PlayStation 2,Sony Computer Entertainment
Tomb Raider III: Adventures of Lara Croft,Action,PlayStation,Eidos Interactive
James Bond 007: Agent Under Fire,Shooter,PlayStation 2,Electronic Arts
LEGO Star Wars: The Video Game,Action,PlayStation 2,Eidos Interactive
Battlefield 4,Shooter,Xbox 360,Electronic Arts
FIFA Soccer 11,Sports,Xbox 360,Electronic Arts
Rugrats in Paris: The Movie,Action,PlayStation,THQ
Spyro 2: Ripto's Rage!,Platform,PlayStation,Sony Computer Entertainment
Left 4 Dead,Shooter,Xbox 360,Electronic Arts
Mario & Sonic at the Olympic Winter Games,Sports,Nintendo DS,Sega
Resident Evil 5,Action,Xbox 360,Capcom
Donkey Kong Country 3: Dixie Kong's Double Trouble!,Platform,Super Nintendo Entertainment System,Nintendo
Assassin's Creed: Brotherhood,Action,Xbox 360,Ubisoft
Kung Fu,Action,Nintendo Entertainment System,Nintendo
Batman: Arkham Asylum,Action,Xbox 360,Eidos Interactive
Clubhouse Games,Misc,Nintendo DS,Nintendo
FIFA Soccer 2004,Sports,PlayStation 2,Electronic Arts
Star Wars Battlefront (2015),Shooter,Xbox One,Electronic Arts
Battlefield: Bad Company 2,Shooter,Xbox 360,Electronic Arts
Guitar Hero: On Tour,Misc,Nintendo DS,Activision
Assassin's Creed: Unity,Action,Xbox One,Ubisoft
Far Cry 3,Shooter,PlayStation 3,Ubisoft
Monster Hunter 4,Role-Playing,Nintendo 3DS,Capcom
Borderlands,Shooter,Xbox 360,Take-Two Interactive
Tekken 4,Fighting,PlayStation 2,Namco Bandai Games
Battlefield 4,Shooter,PlayStation 4,Electronic Arts
LittleBigPlanet 2,Platform,PlayStation 3,Sony Computer Entertainment
Grand Theft Auto 2,Action,PlayStation,Take-Two Interactive
Final Fantasy III,Role-Playing,Super Nintendo Entertainment System,SquareSoft
Spider-Man 2,Action,PlayStation 2,Activision
F-1 Race,Racing,Game Boy,Nintendo
FIFA Soccer 2003,Sports,PlayStation 2,Electronic Arts
Crash Bash,Misc,PlayStation,Sony Computer Entertainment
LEGO Batman: The Videogame,Action,Xbox 360,Warner Bros. Interactive Entertainment
Metal Gear Solid V: The Phantom Pain,Action,PlayStation 4,Konami Digital Entertainment
The Legend of Zelda: Spirit Tracks,Action,Nintendo DS,Nintendo
WWF War Zone,Fighting,PlayStation,Acclaim Entertainment
The Legend of Zelda: Majora's Mask,Action,Nintendo 64,Nintendo
Professor Layton and the Unwound Future,Puzzle,Nintendo DS,Nintendo
Rugrats: Search For Reptar,Adventure,PlayStation,THQ
Assassin's Creed IV: Black Flag,Action,Xbox 360,Ubisoft
English Training: Have Fun Improving Your Skills!,Misc,Nintendo DS,Nintendo
James Bond 007: Nightfire,Shooter,PlayStation 2,Electronic Arts
Ratchet & Clank,Platform,PlayStation 2,Sony Computer Entertainment
Mario Party 9,Misc,Nintendo Wii,Nintendo
Star Wars Episode III: Revenge of the Sith,Action,PlayStation 2,LucasArts
Max Payne,Shooter,PlayStation 2,Take-Two Interactive
The Lord of the Rings: The Return of the King,Action,PlayStation 2,Electronic Arts
Assassin's Creed Syndicate,Action,PlayStation 4,Ubisoft
Destiny,Shooter,Xbox One,Activision
True Crime: Streets of LA,Action,PlayStation 2,Activision
Wii Music,Misc,Nintendo Wii,Nintendo
Gran Turismo (PSP),Racing,PlayStation Portable,Sony Computer Entertainment
Monster Hunter X,Action,Nintendo 3DS,Capcom
Tekken,Fighting,PlayStation,Sony Computer Entertainment
FIFA 16,Sports,Xbox One,Electronic Arts
L.A. Noire,Adventure,PlayStation 3,Take-Two Interactive
Madden NFL 16,Sports,PlayStation 4,Electronic Arts
Yokai Watch 2 Ganso/Honke,Role-Playing,Nintendo 3DS,Nintendo
007: Tomorrow Never Dies,Shooter,PlayStation,Electronic Arts
Baseball,Sports,Nintendo Entertainment System,Nintendo
Killer Instinct,Fighting,Super Nintendo Entertainment System,Nintendo
WWF SmackDown! 2: Know Your Role,Fighting,PlayStation,THQ
Crisis Core: Final Fantasy VII,Role-Playing,PlayStation Portable,Square Enix
God of War: Chains of Olympus,Action,PlayStation Portable,Sony Computer Entertainment
Dragon Quest VI: Maboroshi no Daichi,Role-Playing,Super Nintendo Entertainment System,Enix Corporation
Dance Central,Misc,Xbox 360,MTV Games
Enter the Matrix,Action,PlayStation 2,Atari
Super Mario Maker,Platform,Wii U,Nintendo
Fallout: New Vegas,Role-Playing,PlayStation 3,Bethesda Softworks
LEGO Batman: The Videogame,Action,Nintendo Wii,Warner Bros. Interactive Entertainment
Rhythm Heaven,Misc,Nintendo DS,Nintendo
Ace Combat 04: Shattered Skies,Simulation,PlayStation 2,Sony Computer Entertainment Europe
Club Penguin: Elite Penguin Force,Adventure,Nintendo DS,Disney Interactive Studios
