Hospital NPI,Hospital Name,Hospital Street Address,Hospital City,Hospital State,Hospital Postal Code
1699778704,WEBSTER COUNTY MEMORIAL HOSPITAL,324 MILLER MOUNTAIN DR,WEBSTER SPRINGS,WV,262881026
1396748471,NORTH WHEELER COUNTY HOSPITAL DISTRICT,901 S. SWEETWATER STREET,WHEELER,TX,790961030
1275536344,ZEELAND COMMUNITY HOSPITAL,8333 FELCH ST,ZEELAND,MI,494642608
1073516183,"CAPITAL HEALTH SYSTEM, INC.",1 CAPITAL WAY,PENNINGTON,NJ,085342520
1447253521,"PIONEER HEALTH SERVICES OF NEWTON COUNTY, LLC",9421 EASTSIDE DRIVE EXTENTION,NEWTON,MS,393452613
1376546440,"ROME MEMORIAL HOSPITAL, INC.",1500 N JAMES ST,ROME,NY,134402844
1922001809,"ALTA LOS ANGELES HOSPITALS, INC.",4081 E OLYMPIC BLVD,LOS ANGELES,CA,900233330
1508869470,ST LUKES WOOD RIVER MEDICAL CENTER LTD,100 HOSPITAL DR,KETCHUM,ID,833409998
1043213911,CONDELL MEDICAL CENTER,801 S MILWAUKEE AVE,LIBERTYVILLE,IL,600483199
1952304826,RML HEALTH PROVIDERS LIMITED PARTNERSHIP,5601 SOUTH COUNTY LINE ROAD,HINSDALE,IL,60521
1619970415,ADVANCED CARDIOLOGY CENTER,AVE HOSTOS # 410 CARRETERA #2 CENTRO MEDICO,MAYAGUEZ,PR,006826353
1154324952,LIBERTY COUNTY HOSPITAL DISTRICT NO 1,1353 NORTH TRAVIS STREET,LIBERTY,TX,775753549
1497758312,TEN BROECK JACKSONVILLE LLC,6300 BEACH BLVD,JACKSONVILLE,FL,322162708
1255334173,"FROEDTERT MEMORIAL LUTHERAN HOSPITAL, INC.",9200 W WISCONSIN AVE,MILWAUKEE,WI,532263522
1891798716,"SALEM HOSPITAL, INC.",701 S MAIN ST,HILLSBORO,KS,670631500
1013910868,"GCMC OF WHARTON COUNTY TEXAS, LLC",10141 US 59 RD,WHARTON,TX,774887224
1922001775,"LUBBOCK HEART HOSPITAL, LLC",4810 NORTH LOOP 289,LUBBOCK,TX,794163025
1326041229,ST MARYS HOSPITAL DECATUR OF THE HOSPITAL SISTERS OF THE THIRD ORDER,1800 E LAKE SHORE DR,DECATUR,IL,62521
1699778415,KENNEDY KRIEGER INSTITUTE,700 N BROADWAY,BALTIMORE,MD,212051806
1265435002,ST. BERNARDS BEHAVIORAL HEALTH,2712 E JOHNSON AVE,JONESBORO,AR,724011874
1063415800,"UNITED METHODIST BEHAVIORAL HEALTH SYSTEM, INC",1601 MURPHY DRIVE,MAUMELLE,AR,72113
1144223975,NCED MENTAL HEALTH CENTER,1900 DENVER AVE,EL PASO,TX,799023008
1528061314,SHAMOKIN AREA COMMUNITY HOSPITAL,4200 HOSPITAL RD,COAL TOWNSHIP,PA,178669668
1396748265,STATE OF KANSAS,500 STATE HOSPITAL DRIVE,OSAWATOMIE,KS,660641813
1114920980,STATE OF KANSAS,2205 WEST 36TH AVE,KANSAS CITY,KS,661032198
1750384426,CORDELL MEMORIAL HOSPITAL 0189,1220 N GLENN L ENGLISH ST,CORDELL,OK,736322010
1588667554,COUNTY OF TILLMAN-CITY OF FREDERICK HOSPITAL AUTHORITY,319 E JOSEPHINE AVE,FREDERICK,OK,735422220
1730182569,HEGG MEMORIAL HOSPITAL,1202 21ST AVE,ROCK VALLEY,IA,512471420
1790788578,MASSAC MEMORIAL HOSPITAL,28 CHICK ST,METROPOLIS,IL,629602467
1447253125,RIDGECREST REGIONAL HOSPITAL,1081 N CHINA LAKE BLVD,RIDGECREST,CA,935553130
1649273434,BAYLOR REGIONAL MEDICAL CENTER AT PLANO,4700 ALLIANCE BLVD,PLANO,TX,750935323
1922001874,MICHAEL REESE MEDICAL CENTER CORP,2929 S ELLIS AVE,CHICAGO,IL,606163395
1114920048,"MERITER HOSPITAL, INC.",202 S PARK ST,MADISON,WI,537151507
1659374585,PINE CREEK MEDICAL CENTER LLC,9032 HARRY HINES BLVD,DALLAS,TX,752351720
1083617807,"NEWMAN MEMORIAL HOSPITAL, INC",905 S MAIN ST,SHATTUCK,OK,73858
1992708705,LUBBOCK REGIONAL MHMR CENTER,1950 ASPEN AVE,LUBBOCK,TX,794041211
1689677320,PEACEHEALTH,2901 SQUALICUM PKWY,BELLINGHAM,WA,982251851
1730182478,JOHN FITZGIBBON MEMORIAL HOSPITAL INC.,2305 S 65 HIGHWAY,MARSHALL,MO,653403702
1639172372,CEDARS-SINAI MEDICAL CENTER,8700 BEVERLY BLVD,LOS ANGELES,CA,90048
1760485221,TRI-STATE MEMORIAL HOSPITAL,1221 HIGHLAND AVE,CLARKSTON,WA,994032829
1194728691,BRYLIN HOSPITALS INC,1263 DELAWARE AVE,BUFFALO,NY,14209
1871596403,"CUMBERLAND MEDICAL CENTER, INC.",421 S MAIN ST,CROSSVILLE,TN,385555048
1407859036,DEPARTAMENTO DE SALUD OFICIAL,CARR 22 AVE AMERICO MIRANDA BO MONACILLO,RIO PIEDRAS,PR,00921
1023011657,SWEENY HOSPITAL DISTRICT,305 N MCKINNEY ST,SWEENY,TX,774802801
1992708598,"HEARTLAND SURGICAL SPECIALTY HOSPITAL, LLC",4901 COLLEGE BLVD,LEAWOOD,KS,662111602
1639172133,"VIBRA HOSPITAL OF SAN DIEGO, LLC",555 WASHINGTON ST,SAN DIEGO,CA,921032289
1093718728,JOHN T. MATHER MEMORIAL HOSPITAL,75 N COUNTRY RD,PORT JEFFERSON,NY,117772119
1548263262,HOSPITAL SERVICE DISTRICT NO. 2,210 CHAMPAGNE BLVD,BREAUX BRIDGE,LA,705173700
1427051002,CLAYTON HEALTH SYSTEMS INC,300 WILSON STREET,CLAYTON,NM,884150489
1568465144,NORTHERN MAINE MEDICAL CENTER,194 EAST MAIN STREET,FORT KENT,ME,047431428
1144223702,LITTLETON HOSPITAL ASSOCIATION,600 ST JOHNSBURY RD,LITTLETON,NH,03561
1194728808,WABASH GENERAL HOSPITAL DISTRICT,1418 COLLEGE DR,MOUNT CARMEL,IL,628632638
1336142033,OKEENE MUNICIPAL HOSPITAL AND SCHALLMO AUTHORITY,207 EAST F ST,OKEENE,OK,737630489
1588667281,COPIAH COUNTY MEDICAL CENTER,27190 HIGHWAY 28,HAZLEHURST,MS,390832224
1306849005,LINCOLN SURGERY CENTER LLC,1710 S 70TH ST,LINCOLN,NE,685061676
1467455154,DESOTO HOSPITAL ASSOCIATION,207 JEFFERSON ST,MANSFIELD,LA,710522603
1265435887,"ACCORD MEDICAL MANAGEMENT, LP",414 NAVARRO ST,SAN ANTONIO,TX,782052541
1760485304,PARKVIEW ADVENTIST MEDICAL CENTER,329 MAINE ST,BRUNSWICK,ME,040113310
1316940034,MCALESTER REGIONAL HEALTH CENTER AUTHORITY,1 E CLARK BASS BLVD,MCALESTER,OK,745014209
1699778381,"HIGHLANDS-CASHIERS HOSPITAL,INC.",190 HOSPITAL DR,HIGHLANDS,NC,287417600
1417950106,CHRISTUS HEALTH NORTHERN LOUISIANA,1453 E BERT KOUNS INDUSTRIAL LOOP,SHREVEPORT,LA,711056800
1124021811,LEO N LEVI MEMORIAL HOSPITAL ASSOCIATION,300 PROSPECT AVE,HOT SPRINGS,AR,719014003
1750384368,DEPARTMENT OF HUMAN SERVICES,6135 ROOSEVELT HWY,WARM SPRINGS,GA,318301000
1295738896,ST. FRANCIS HOSPITAL INC.,701 N CLAYTON ST,WILMINGTON,DE,198053165
1508869108,SPARROW SPECIALTY HOSPITAL,1215 E MICHIGAN AVE,LANSING,MI,489121811
1861495335,CITY OF SISTERSVILLE,314 S WELLS ST,SISTERSVILLE,WV,261751098
1356344915,CHATTAHOOCHEE VALLEY HOSPITAL SOCIETY,4800 48TH ST,VALLEY,AL,368543666
1881697316,REAGAN HOSPITAL DISTRICT,1300 N MAIN AVE,BIG LAKE,TX,76932
1225031750,"JASPER HEALTH SERVICES, INC.",898 COLLEGE ST,MONTICELLO,GA,310641261
1275536799,LAFAYETTE GENERAL MEDICAL CENTER INC,1214 COOLIDGE BLVD,LAFAYETTE,LA,705032621
1255334660,FRANKLIN COUNTY MEMORIAL HOSPITAL,1406 Q ST,FRANKLIN,NE,689391073
1326041716,"NORTON COMMUNITY HOSPITAL, INC",100 15TH ST NW,NORTON,VA,242731616
1174526529,TITUS COUNTY HOSPITAL DISTRICT,2001 N JEFFERSON AVE,MT PLEASANT,TX,754552371
1548263973,MILLCREEK COMMUNITY HOSPITAL,5515 PEACH ST,ERIE,PA,165092603
1386647717,"MSH PARTNERS, LLC",2727 E LEMMON AVE,DALLAS,TX,75204
1750384079,SALINAS VALLEY MEMORIAL HEALTHCARE SYSTEM,450 E ROMIE LN,SALINAS,CA,939014029
1003819319,SACRED HEART MEDICAL CENTER,101 W 8TH AVE,SPOKANE,WA,992042307
1326041633,PINE MEDICAL CENTER,705 LUNDORFF DRIVE SOUTH,SANDSTONE,MN,55072
1699778001,SAINT CLARES HOSPITAL INC,25 POCONO RD,DENVILLE,NJ,078342954
1316940745,EDWARD JOHN NOBLE HOSPITAL OF GOUVERNEUR NY,77 W BARNEY ST,GOUVERNEUR,NY,136421040
1003819327,CHRISTUS ST JOSEPH HOSPITAL,1919 LA BRANCH ST,HOUSTON,TX,770028321
1710980032,CENTRAL IOWA HEALTHCARE,3 S 4TH AVE,MARSHALLTOWN,IA,501582924
1669475950,HENDRICKS COUNTY HOSPITAL,1000 E MAIN ST,DANVILLE,IN,461221948
1528061827,NATIONAL REHABILITATION HOSPITAL INC,102 IRVING ST NW,WASHINGTON,DC,200102921
1518960814,ASPEN VALLEY HOSPITAL DISTRICT,401 CASTLE CREEK RD,ASPEN,CO,816111159
1003819376,SOUTHERN HUMBOLDT COMMUNITY HEALTHCARE DISTRICT,733 CEDAR ST,GARBERVILLE,CA,955423201
1528061892,CHRISTUS ST JOSEPH HOSPITAL,1919 LA BRANCH ST,HOUSTON,TX,770028321
1558364802,MOBILE INFIRMARY ASSOCIATION,5 MOBILE INFIRMARY CIR,MOBILE,AL,366073513
1306849708,BRATTLEBORO MEMORIAL HOSPITAL,17 BELMONT AVE,BRATTLEBORO,VT,053013498
1992707228,SHANNON MEDICAL CENTER,120 E HARRIS AVE,SAN ANGELO,TX,769035904
1437152766,KIOWA DISTRICT HOSPITAL,1002 S 4TH ST,KIOWA,KS,670701825
1154324507,AVERA QUEEN OF PEACE,525 N FOSTER ST,MITCHELL,SD,573012966
1255334678,SAINT CLARES HOSPITAL INC,20 WALNUT ST,SUSSEX,NJ,074612537
1306849617,WEST ASCENSION PARISH HOSPITAL SERVICE DISTRICT,301 MEMORIAL DR,DONALDSONVILLE,LA,703464376
1518960806,"DEQUINCY MEMORIAL HOSPITAL,INC",110 W 4TH ST,DEQUINCY,LA,706333508
1699778985,"LAFAYETTE GENERAL SURGICAL HOSPITAL, LLC",1000 W PINHOOK RD,LAFAYETTE,LA,705032460
1447253729,CHRISTUS HEALTH GULF COAST,701 S FRY RD,KATY,TX,774502237
1073516357,"WARREN COMMUNITY HOSPITAL, INC.",300 W GOOD SAMARITAN DR,WARREN,MN,567621412
1457354722,CHRISTUS ST JOSEPH HOSPITAL,1919 LA BRANCH ST,HOUSTON,TX,770028321
1366445637,CHRISTUS ST JOSEPH HOSPITAL,1919 LA BRANCH ST,HOUSTON,TX,770028321
1699778951,FRANKLIN HOSPITAL DISTRICT,201 BAILEY LANE,BENTON,IL,628120000
1255334595,CORCORAN DISTRICT HOSPITAL,1310 HANNA AVE,CORCORAN,CA,932122314
1043213382,LOGAN HOSPITAL AND MEDICAL CENTER AUTHORITY,200 S ACADEMY RD,GUTHRIE,OK,730448727
1861494163,DOCTORS CENTER HOSPITAL INC,CARR. #2 KM 47.7,MANATI,PR,00674
1013919315,ATLANTICARE REGIONAL MEDICAL CENTER,65 W JIMMIE LEEDS RD,POMONA,NJ,082409102
1265434559,CHRISTUS HEALTH GULF COAST,18300 SAINT JOHN DR,NASSAU BAY,TX,770586302
1801898184,CHRISTUS HEALTH GULF COAST,18300 SAINT JOHN DR,NASSAU BAY,TX,770586302
1114929494,GRAYSON COUNTY HOSPITAL FOUNDATION INC,910 WALLACE AVE,LEITCHFIELD,KY,427541418
1346242682,"RIDGEVIEW INSTITUTE,INC",3995 S COBB DR SE,SMYRNA,GA,300806342
1326040684,"PAGE MEMORIAL HOSPITAL, INC.",200 MEMORIAL DR,LURAY,VA,22835
1083616221,"OKMULGEE MEMORIAL HOSPITAL, INC",1401 MORRIS DRIVE,OKMULGEE,OK,744476429
1023010261,MERCY TYLER HOSPITAL,880 SR 6 W,TUNKHANNOCK,PA,186576149
1104828383,"BRECKINRIDGE HEALTH, INC",1011 OLD HIGHWAY 60,HARDINSBURG,KY,401432519
1558365890,METHODIST HEALTHCARE - MEMPHIS HOSPITALS,1265 UNION AVE,MEMPHIS,TN,381043415
1780686931,ST MARY MEDICAL CENTER,1201 LANGHORNE-NEWTOWN RD,LANGHORNE,PA,190471295
1134121387,ALIQUIPPA COMMUNITY HOSPITAL,2500 HOSPITAL DR,ALIQUIPPA,PA,150012123
1689676835,NATCHITOCHES PARISH HOSPITAL SERVICE DISTRICT,501 KEYSER AVE,NATCHITOCHES,LA,714576018
1508868639,RENAISSANCE HOSPITAL TERRELL INC,1551 HIGHWAY 34 S,TERRELL,TX,751604833
1538163886,DAMERON HOSPITAL ASSOCIATION,525 W ACACIA ST,STOCKTON,CA,952032405
1215939335,KUAKINI MEDICAL CENTER,347 N KUAKINI ST,HONOLULU,HI,968172306
1417959750,"MARQUETTE GENERAL HOSPITAL, INC.",420 W MAGNETIC ST,MARQUETTE,MI,498552711
1366444507,COMMUNITY MEDICAL CENTER,1800 MULBERRY ST,SCRANTON,PA,185102369
1164424305,DOUGLAS COUNTY HOSPITAL,111 17TH AVE E,ALEXANDRIA,MN,563083703
1083616213,AUGUSTA HOSPITAL LLC,2260 WRIGHTSBORO RD,AUGUSTA,GA,309044764
1235131442,"VASSAR HEALTH CONNECTICUT, INC.",50 HOSPITAL HILL RD,SHARON,CT,06069
1861494072,ST. MARGARET'S HEALTH - SPRING VALLEY,600 E 1ST ST,SPRING VALLEY,IL,613621512
1992707178,YOUVILLE HOSPITAL & REHABILITATION CENTER,1575 CAMBRIDGE ST,CAMBRIDGE,MA,021384308
1063414233,MEMORIAL HOSPITAL,826 W KING ST,OWOSSO,MI,48867
1366444531,ESSENT HEEALTHCARE OF MISSOURI INC.,500 MEDICAL DR,WENTZVILLE,MO,633853421
1588668842,"HALIFAX REGIONAL HOSPITAL, INC.",2204 WILBORN AVE,SOUTH BOSTON,VA,245921645
1295739548,SALEM TOWNSHIP HOSPITAL,1201 RICKER DRIVE,SALEM,IL,62881
1023010113,"SOUTHERN CALIFORNIA HEALTHCARE SYSTEM, INC",6245 DE LONGPRE AVE,HOLLYWOOD,CA,900288253
1659375673,THE CITY HOSPITAL ASSOCIATION,425 WEST FIFTH STREET,EAST LIVERPOOL,OH,439202405
1295739258,RANKIN COUNTY HOSPITAL DISTRICT,1611 SPUR 576,RANKIN,TX,797780327
1528062569,HARRISON COUNTY COMMUNITY HOSPITAL DISTRICT,2600 MILLER ST,BETHANY,MO,644242701
1073517058,ROOSEVELT COUNTY SPECIAL HOSPITAL DISTRICT,42121 US HIGHWAY 70,PORTALES,NM,881309357
1528062429,CENTRAL PENINSULA GENERAL HOSPITAL INC.,250 HOSPITAL PL,SOLDOTNA,AK,996697559
1114921160,"JENNINGS AMERICAN LEGION HOSPITAL, INC.",1634 ELTON RD,JENNINGS,LA,705463614
1356345318,NEBRASKA ORTHOPAEDIC HOSPITAL LLC,2808 SOUTH 143RD PLAZA,OMAHA,NE,681445611
1093719932,CALCASIEU CAMERON HOSPITAL SERVICE DISTRICT,701 CYPRESS ST,SULPHUR,LA,706635053
1477557320,NYU DOWNTOWN HOSPITAL,143-43 41ST AVENUE,FLUSHING,NY,113551814
1750385571,ASOCIACION HOSPITAL DEL MAESTRO INC,550 SERGIO CUEVAS BUSTAMANTE,SAN JUAN,PR,00918
1235133109,PLATTE COMMUNITY MEMORIAL HOSPITAL INC,601 E 7TH ST,PLATTE,SD,573692123
1215931068,PORTAGE HEALTH INC,500 CAMPUS DR,HANCOCK,MI,499301569
1497759260,SULLIVAN COUNTY COMMUNITY HOSPITAL,2200 N SECTION ST,SULLIVAN,IN,478827523
1992709661,"CONTINUECARE HOSPITAL AT HENDRICK MEDICAL CENTER, INC.",1900 PINE ST,ABILENE,TX,796012432
1730183658,WINKLER COUNTY HOSPITAL DISTRICT,821 JEFFEE DR,KERMIT,TX,797454610
1861496697,LOWER VALLEY HOSPITAL ASSOCIATION,300 W OTTLEY AVE,FRUITA,CO,815212118
1609870310,EXCELSIOR SPRINGS CITY HOSPITAL,1700 RAINBOW BLVD,EXCELSIOR SPRINGS,MO,640241182
1346244126,MERCY HEALTH-LOURDES HOSPITAL LLC,1530 LONE OAK RD,PADUCAH,KY,420037901
1184628919,BEVERLY COMMUNITY HOSPITAL ASSOCIATION,309 W BEVERLY BLVD,MONTEBELLO,CA,906404308
1326042078,BARRETT HOSPITAL DEVELOPMENT CORPORATION,600 MT HWY 91 SOUTH,DILLON,MT,597253597
1922002674,FRISCO MEDICAL CENTER LLP,5601 WARREN PKWY,FRISCO,TX,750344069
1831193499,HOSPITAL SERVICE DISTRICT NO 2 OF PARISH OF BEAUREGARD STATE OF LA,600 S PINE ST,DERIDDER,LA,706344942
1225032881,GOOD SAMARITAN HOSPITAL,520 S 7TH ST,VINCENNES,IN,475911038
1760486344,HOSPITAL GENERAL DE CASTANER INC,ROAD 135 KM 64 2,CASTANER,PR,00631
1972507580,KADLEC REGIONAL MEDICAL CENTER,888 SWIFT BLVD,RICHLAND,WA,99352
1346244969,"WIDE HORIZON, INC.",8900 W 38TH AVE,WHEAT RIDGE,CO,800334204
1902800535,ST. MARGARET'S HEALTH-PERU,925 WEST ST,PERU,IL,613542757
1780688333,"CALDWELL COUNTY HOSPITAL, INC",100 HOSPITAL DR,PRINCETON,KY,424452301
1144224767,GEORGIA DEPARTMENT OF HUMAN RESOURCES,3000 SCHATULGA RD,COLUMBUS,GA,319073117
1942204490,"JAMES D. TATE, M.D.",2900 EUREKA WAY,REDDING,CA,960010220
1609870195,PUTNAM COUNTY MEMORIAL HOSPITAL,1926 OAK ST,UNIONVILLE,MO,635651180
1790789212,AHS HOSPITAL CORP,175 HIGH ST,NEWTON,NJ,078601004
1144224676,"ST JOSEPH'S HOSPITAL OF MARSHFIELD, INC",611 SAINT JOSEPH AVE,MARSHFIELD,WI,544491832
1649274093,"H. BABAALI, M.D. MEDICAL INC.",2428 SANTA MONICA BLVD,SANTA MONICA,CA,904042047
1902800352,UNITED MEMORIAL MEDICAL CENTER,127 NORTH ST,BATAVIA,NY,140201631
1790789147,EASTERN MAINE MEDICAL CENTER,489 STATE ST,BANGOR,ME,044016616
1326042805,CHRISTUS HEALTH GULF COAST,701 S FRY RD,KATY,TX,774502255
1851395339,SKIFF MEDICAL CENTER,204 N 4TH AVE E,NEWTON,IA,502083135
1932103413,MOUNT SINAI HOSPITAL,1 GUSTAVE L LEVY PL,NEW YORK,NY,100296500
1851395263,UNIVERSITY BEHAVIORAL LLC,2500 DISCOVERY DRIVE,ORLANDO,FL,328263709
1891799227,"NORTON HOSPITALS, INC",200 E CHESTNUT ST,LOUISVILLE,KY,402021831
1770587107,ASANTE,2825 E BARNETT RD,MEDFORD,OR,975048332
1306840723,TULARE LOCAL HEALTH CARE DISTRICT,869 N CHERRY ST,TULARE,CA,932742207
1841294246,FALLS COMMUNITY HOSPITAL AND CLINIC,322 COLEMAN ST.,MARLIN,TX,766600060
1366446767,PUBLIC HOSPITAL DISTRICT #1-A OF WHITMAN COUNTY,835 SE BISHOP BLVD,PULLMAN,WA,991635512
1811991227,HALIFAX HOSPITAL MEDICAL CENTER,303 N CLYDE MORRIS BLVD,DAYTONA BEACH,FL,321142709
1699779017,PERRY COUNTY MEMORIAL HOSPITAL,8885 STATE ROAD 237,TELL CITY,IN,475868567
1962406389,CHELAN COUNTY PUBLIC HOSPITAL DISTRICT NO. 1,817 COMMERCIAL ST,LEAVENWORTH,WA,988261316
1487659884,PHYSICIANS SPECIALTY HOSPITAL OF EL PASO EAST LP,1416 GEORGE DIETER DR,EL PASO,TX,799367601
1790780047,UMASS MEMORIAL HEALTH-HARRINGTON HOSPITAL INC,100 SOUTH STREET,SOUTHBRIDGE,MA,01550
1104821461,"MADISON COUNTY HOSPITAL HEALTH SYSTEMS, INC.",224 NW CRANE AVE,MADISON,FL,323401400
1497750830,"ASPIRUS IRON RIVER HOSPITAL & CLINICS, INC.",1400 W ICE LAKE RD,IRON RIVER,MI,49935
1710982194,ROCK COUNTY HOSPITAL,102 E SOUTH ST,BASSETT,NE,687145512
1265437644,"WEST JEFFERSON HOLDINGS, LLC",1101 MEDICAL CENTER BLVD,MARRERO,LA,700723147
1275538530,ADVENTIST HEALTH MEDICAL CENTER TEHACHAPI,1100 MAGELLAN DR,TEHACHAPI,CA,935611380
1043215437,SHOSHONE MEDICAL CENTER,25 JACOBS GULCH RD,KELLOGG,ID,838372023
1679578066,"REHABILITATION HOSPITAL OF SOUTHERN NEW MEXICO, INC",4441 E LOHMAN AVE,LAS CRUCES,NM,880118267
1841295219,WINIFRED MASTERSON BURKE REHABILITATION HOSPITAL,785 MAMARONECK AVE,WHITE PLAINS,NY,106052523
1164427431,"ESSENT HEALTHCARE - AYER, INC.",200 GROTON RD,AYER,MA,014321168
1184629594,"DARDANELLE REGIONAL, LLC",200 N 3RD ST,DARDANELLE,AR,728343802
1336144781,CHRISTUS ST JOSEPH HOSPITAL,1919 LA BRANCH ST,HOUSTON,TX,770028321
1740285139,DASSEE COMMUNITY HEALTH SYSTEMS,20370 NE BURNS AVE,BLOUNTSTOWN,FL,324241045
1023013448,UNITED REGIONAL HEALTH CARE SYSTEM INC,1600 11TH ST,WICHITA FALLS,TX,763014388
1669477089,DALLAS COUNTY HOSPITAL,610 10TH ST,PERRY,IA,502202221
1417952748,"BETHESDA HOSPITAL, INC.",2815 S SEACREST BLVD,BOYNTON BEACH,FL,334357934
1598760829,ST. JOSEPH'S WAYNE HOSPITAL,224 HAMBURG TPKE,WAYNE,NJ,074702111
1043215379,PIH HEALTH WHITTIER HOSPITAL,12401 WASHINGTON BLVD,WHITTIER,CA,906021006
1336144732,LIMA MEMORIAL JOINT OPERATING COMPANY,1001 BELLEFONTAINE AVE,LIMA,OH,458042800
1366447609,CENTRAL STATE HOSPITAL,10510 LAGRANGE RD,LOUISVILLE,KY,402231277
1912902263,HOSPITAL AUTHORITY OF JEFF DAVIS COUNTY GEORGIA,163 S TALLAHASSEE ST,HAZLEHURST,GA,315391690
1578568853,CHELAN COUNTY PUBLIC HOSPITAL DISTRICT NO 2,110 S APPLE BLOSSOM DR,CHELAN,WA,988168810
1497750608,MCKENZIE MEMORIAL HOSPITAL,120 N DELAWARE ST,SANDUSKY,MI,484711009
1033114277,SEDAN CITY HOSPITAL,300 W NORTH ST,SEDAN,KS,673611051
1679578850,"ST. VINCENT ANDERSON REGIONAL HOSPITAL, INC.",2015 JACKSON ST,ANDERSON,IN,460164337
1003811290,"PROVIDENCE HOSPITAL, LLC",2435 FOREST DR,COLUMBIA,SC,292042026
1548265739,"MUNROE REGIONAL HEALTH SYSTEM, INC.",1500 SW 1ST AVE,OCALA,FL,344716504
1942205166,CLAIBORNE MEDICAL CENTER,1850 OLD KNOXVILLE RD,TAZEWELL,TN,378793625
1114922341,"MONTGOMERY GENERAL HOSPITAL, INC.",18101 PRINCE PHILIP DR,OLNEY,MD,208321514
1912902206,JEANES HOSPITAL,7600 CENTRAL AVE,PHILADELPHIA,PA,191112442
1497750699,JACKSON PARK HOSPITAL FOUNDATION,7531 S STONY ISLAND AVE,CHICAGO,IL,606493954
1154326379,DAVIE MEDICAL CENTER,329 NC HIGHWAY 801 N,BERMUDA RUN,NC,270067905
1326043548,PRISMA HEALTH TUOMEY,129 N. WASHINGTON STREET,SUMTER,SC,291504949
1811992084,ABINGTON MEMORIAL HOSPITAL,1200 OLD YORK RD,ABINGTON,PA,190013720
1104821305,WHEELING HOSPITAL INC,1 MEDICAL PARK,WHEELING,WV,26003
