Make,Model,baseModel,Year
Hyundai,Nexo Blue,Nexo,2022
Kia,K5 AWD,K5,2024
Ford,F250 Pickup 4WD,F250,2013
GMC,V15 Suburban 4WD,Suburban,2013
Eagle,Summit,Summit,2013
Jeep,Cherokee 4WD,Cherokee,2013
Ford,Probe,Probe,2013
Dodge,Daytona,Daytona,2013
Chevrolet,C1500 Pickup 2WD,C1500 Pickup,2013
GMC,Sierra 1500 2WD,Sierra,2013
Toyota,Truck 2WD,Truck/T100,2013
Honda,Fit,Fit,2013
Porsche,911 Carrera 4,911,2013
BMW,760Li,7 Series,2014
Scion,xB,xB,2014
MINI,Cooper S Hardtop 4 door,Cooper,2017
Porsche,Panamera Turbo Executive,Panamera,2017
Volvo,S60 AWD,S60,2020
Porsche,Cayenne S,Cayenne,2020
Rolls-Royce,Cullinan,Cullinan,2022
Honda,Civic Hybrid,Civic,2013
Hyundai,Tiburon,Tiburon,2013
Toyota,Camry,Camry,2013
Chrysler,PT Cruiser Convertible,PT Cruiser,2013
Cadillac,CTS,CTS,2013
"Tecstar, LP",Foose F150 Regular Cab 4WD,Foose F150,2013
Ford,Mustang,Mustang,2013
Cadillac,XT5 Limo FWD,XT5,2023
Chevrolet,K10 Pickup 4WD,K10 Pickup,2013
Jeep,Cherokee/Wagoneer 4WD,Cherokee/Wagoneer,2013
Audi,A4 Avant quattro,A4,2013
Aston Martin,Saloon/Vantage/Volante,Saloon/Vantage/Volante,2013
MINI,Cooper S,Cooper,2013
Environmental Rsch and Devp Corp,ERD 1,ERD 1,2013
Ford,F150 Pickup 2WD,F150,2013
Dodge,B150/B250 Van 2WD,B150/B250 Van,2013
Chevrolet,Celebrity Wagon,Celebrity,2013
Porsche,Cayenne GTS,Cayenne,2016
Chevrolet,Equinox AWD,Equinox,2017
Hyundai,Veloster,Veloster,2014
Land Rover,Range Rover Sport,Range Rover,2014
Mercedes-Benz,E400,E-Class,2015
Jeep,Grand Cherokee 2WD,Grand Cherokee,2013
Chevrolet,Monte Carlo,Monte Carlo,2013
Hyundai,Sonata,Sonata,2013
Nissan,Maxima,Maxima,2013
Mercedes-Benz,C240 FFV,C-Class,2013
GMC,Envoy XL 2WD,Envoy,2013
Mercedes-Benz,CLK350 (Cabriolet),CLK-Class,2013
Jaguar,Vdp Lwb,Vdp,2013
Chevrolet,Monte Carlo,Monte Carlo,2013
Renault,18i Sportwagon,18i/Wagon/Sportwagon,2013
Buick,Century Wagon,Century Wagon,2013
Mercedes-Benz,CL550,CL-Class,2013
Nissan,Frontier V6 2WD,Frontier,2013
Jeep,Wrangler 2WD,Wrangler,2013
Toyota,FJ Cruiser 4WD,FJ Cruiser,2013
Dodge,Ram 1500 Pickup 2WD,Ram 1500 Pickup,2013
Roush Performance,Stage 3 F150 Super Crew 4WD,F150,2013
Lexus,IS 250,IS,2013
Chrysler,300/SRT-8,300 SRT8,2013
Mitsubishi,Endeavor AWD,Endeavor,2013
Chevrolet,C10 Pickup 2WD,C10 Pickup,2013
Chevrolet,T10 (S10) Blazer 4WD,Blazer,2013
Ford,Escort,Escort,2013
Eagle,Summit Wagon,Summit,2013
Eagle,Summit,Summit,2013
Mitsubishi,Expo.LRV,Expo,2013
Chevrolet,S10 Blazer 4WD,Blazer,2013
Ford,Mustang,Mustang,2013
Mazda,323,323,2013
GMC,Savana 1500  AWD Conversion (cargo),Savana Cargo,2013
Fiat,500 Cabrio,500,2013
Mercedes-Benz,C350 Coupe,C-Class,2013
Mercedes-Benz,CL550 4matic,CL-Class,2013
Audi,A4,A4,2013
Jaguar,XF FFV,XF,2013
Cadillac,Escalade ESV AWD,Escalade,2013
Toyota,Tacoma 2WD,Tacoma,2013
Cadillac,Brougham,Brougham,2013
MINI,Cooper (3-doors),Cooper,2014
Porsche,911 Carrera,911,2015
Chevrolet,S10 Blazer 2WD,Blazer,2013
Mitsubishi,3000 GT,3000 GT,2013
Mitsubishi,Eclipse,Eclipse,2013
Dodge,600 Convertible,600,2013
Dodge,600 Convertible,600,2013
Mercedes-Benz,S320,S-Class,2013
Acura,SLX,SLX,2013
Pontiac,Grand Prix,Grand Prix,2013
Toyota,Tacoma 2WD,Tacoma,2013
Porsche,911 GT2,911,2013
Dodge,Conquest,Conquest,2013
Dodge,D100/D150 Pickup 2WD,D100/D150 Pickup,2013
Ferrari,F 40,F 40,2013
BMW,318i,3 Series,2013
Buick,Century Wagon,Century Wagon,2013
Porsche,911 Carrera 4/2,911,2013
Buick,Regal,Regal,2013
GMC,Sierra K15 4WD,Sierra,2013
BMW,535i Sport Wagon xDrive,5 Series,2013
Chevrolet,G10/20 Sport Van 2WD,G10/20 Van,2013
Ford,EXP,EXP,2013
Ford,Mustang,Mustang,2013
GMC,V25 Pickup 4WD,Pickup,2013
Toyota,Prius,Prius,2019
Audi,A8 L,A8,2020
Jeep,Cherokee/Wagoneer,Cherokee/Wagoneer,2013
Dodge,Colt Vista 4WD,Colt,2013
Ford,EXP,EXP,2013
Pontiac,Bonneville,Bonneville,2013
Chevrolet,Tracker ZR2 4WD,Tracker,2013
BMW,i7 M70 xDrive Sedan (21 inch Wheels),i7,2023
GMC,T15 (S15) Pickup 4WD,Pickup,2013
Chevrolet,K2500 Pickup 4WD,K2500 Pickup,2013
Plymouth,Sundance,Sundance,2013
Nissan,350z Roadster,350z,2013
GMC,Yukon K1500 4WD,Yukon,2019
Audi,S5,S5,2016
Audi,Q5,Q5,2016
Volkswagen,Beetle Dune Convertible,Beetle,2016
GMC,Sierra K15 Cab Chassis 4WD,Sierra,2017
MINI,Cooper Countryman,Countryman,2017
Mercedes-Benz,GLC300 4matic,GLC-Class,2018
Porsche,Panamera Turbo ST,Panamera,2019
Jaguar,F-Type Coupe,F-Type,2019
Ford,Mustang,Mustang,2019
Land Rover,Range Rover Sport SVR,Range Rover,2020
Kia,Forte,Forte,2020
GMC,Terrain FWD,Terrain,2021
Audi,S5 Sportback,S5,2021
Volkswagen,GTI,Golf/GTI,2021
Toyota,RAV4 AWD,RAV4,2021
Jeep,Cherokee 4WD,Cherokee,2022
Volvo,XC40 B5 AWD,XC40,2022
Audi,A5 Sportback S-Line quattro,A5,2022
Porsche,Panamera Turbo S,Panamera,2022
Isuzu,Pickup 4WD,Pickup,2013
Ford,Bronco 4WD,Bronco,2013
Nissan,Truck Cab Chassis 2WD,Truck,2013
Subaru,Outback Wagon AWD,Legacy/Outback,2013
Chrysler,Sebring Convertible,Sebring,2013
Ford,Taurus FWD,Taurus,2013
Scion,tC,tC,2013
Cadillac,Escalade Ext AWD,Escalade,2013
Chevrolet,Camaro,Camaro,2013
Jaguar,XK,XK,2013
BMW,328i Coupe,3 Series,2013
BMW,Z4 sDrive28i,Z4,2013
Ford,Focus FWD FFV,Focus,2013
Nissan,Versa,Versa,2013
BMW,M5,M,2013
Honda,Crosstour 2WD,Crosstour,2013
Hyundai,Genesis Coupe,Genesis,2013
Porsche,Panamera Turbo,Panamera,2014
Infiniti,Q60 AWD,Q60,2014
Nissan,Rogue FWD,Rogue,2014
Lamborghini,Aventador Coupe,Aventador,2015
Rolls-Royce,Ghost,Ghost,2015
Lexus,RX 450h,RX,2015
Hyundai,Santa Fe Sport FWD,Santa Fe,2016
Chevrolet,Blazer 4WD,Blazer,2013
Volkswagen,GTI,Golf/GTI,2013
Volvo,S80/S80 Premier,S80,2013
GMC,Canyon Crew Cab 2WD,Canyon,2013
GMC,Savana 1500/2500 2WD (cargo),Savana Cargo,2013
Mercedes-Benz,SL65 AMG,SL-Class,2013
Hyundai,Accent/Brio,Accent/Brio,2013
Ford,Ranger Pickup 4WD,Ranger,2013
GMC,Canyon 4WD,Canyon,2013
Pontiac,Wave 5,Wave,2013
Acura,MDX 4WD,MDX,2013
Volvo,S60 FWD,S60,2013
Audi,TT Coupe quattro,TT Coupe,2013
Volvo,S60 AWD,S60,2013
Buick,Lucerne,Lucerne,2013
Mazda,B4000 4WD,B Pickup,2013
Toyota,RAV4 2WD,RAV4,2013
Jeep,Compass 2WD,Compass,2013
Subaru,Outback Wagon AWD,Legacy/Outback,2013
Dodge,Challenger,Challenger,2013
Dodge,Caliber,Caliber,2013
Dodge,Durango HEV,Durango,2013
GMC,Terrain FWD,Terrain,2013
American Motors Corporation,Eagle 4WD,Eagle,2013
GMC,S15 Jimmy 2WD,Jimmy,2013
Ford,Explorer RWD,Explorer,2023
Maserati,MC20,MC20,2023
Volvo,740/760,740/760,2013
Chevrolet,S10 Blazer 2WD,Blazer,2013
Subaru,XT 4WD,XT,2013
Mazda,B2200/B2600i,B Pickup,2013
GMC,R1500 Suburban 2WD,Suburban,2013
Jaguar,XJS Coupe,XJS,2013
Chevrolet,El Camino Pickup 2WD,El Camino Pickup,2013
Volvo,240,240,2013
Suzuki,Sidekick Hardtop 4WD,Sidekick,2013
Dodge,Spirit,Spirit,2013
Geo,Prizm,Prizm,2013
Porsche,911 Carrera 4/2,911,2013
Toyota,Paseo,Paseo,2013
Ford,Ranger Pickup 2WD,Ranger,2013
Chevrolet,K1500 Pickup 4WD,K1500 Pickup,2013
BMW,318i/318is,3 Series,2013
Volvo,V70 AWD,V70,2013
Volvo,C70 Convertible,C70,2013
Nissan,Frontier V6 4WD,Frontier,2013
Chevrolet,Suburban 1500 4WD,Suburban,2013
BMW,525i,5 Series,2013
Honda,Civic,Civic,2013
Volkswagen,Jetta,Jetta,2013
Chrysler,Concorde,Concorde,2013
Ford,E250 Econoline 2WD,E250 Econoline,2013
Suzuki,Vitara 2Door 4WD,Vitara,2013
Mercedes-Benz,CL500,CL-Class,2013
Nissan,Altima,Altima,2013
Chevrolet,Tahoe 1500 4WD,Tahoe,2013
Ford,Escape 4WD,Escape,2013
Honda,Accord,Accord,2013
Hyundai,Sonata,Sonata,2013
Chrysler,Concorde/LHS,Concorde/LHS,2013
Chevrolet,S10 Pickup 2WD,S10 Pickup,2013
Mercedes-Benz,560SEC,560,2013
Polestar,1,1,2020
Buick,Envision FWD,Envision,2020
Mazda,3 4-Door 4WD,3,2023
Buick,Regal,Regal,2013
