plant_common_name,plant_family,plant_scientific_name
Yellow Stingbush,Loasaceae,Eucnide bartonioides Zucc. var. bartonioides
Scutula Lichen,Micareaceae,Scutula Tul.
Wright's Bird's Beak,Scrophulariaceae,Cordylanthus wrightii A. Gray ssp. wrightii
Florida Purple Bladderwort,Lentibulariaceae,Utricularia amethystina Salzm. ex A. St.-Hil. & Girard
Spotted Hideseed,Hydrophyllaceae,Eucrypta chrysanthemifolia (Benth.) Greene var. chrysanthemifolia
Widgeongrass,Ruppiaceae,Ruppia maritima L.
Johnnyberry,Melastomataceae,Miconia Ruiz & Pav.
Trelease's Beavertail Pricklypear,Cactaceae,Opuntia basilaris Engelm. & J.M. Bigelow var. treleasei (J.M. Coult.) J.M. Coult. ex Toumey
Geyer's Milkvetch,Fabaceae,Astragalus geyeri A. Gray var. triquetrus (A. Gray) M.E. Jones
Melastoma,Melastomataceae,Melastoma L.
Douglas' Mesamint,Lamiaceae,Pogogyne douglasii Benth.
Imshaugia Lichen,Parmeliaceae,Imshaugia aleurites (Ach.) S.L.F. Mey.
Utah Sweetvetch,Fabaceae,Hedysarum boreale Nutt.
Mitrefruit Pincushionplant,Polemoniaceae,Navarretia jaredii Eastw.
Disc Mayweed,Asteraceae,Matricaria discoidea DC.
Peck's Blacksnakeroot,Apiaceae,Sanicula peckiana J.F. Macbr.
Pilocarpus,Rutaceae,Pilocarpus Vahl
Arapaho Sedge,Cyperaceae,Carex arapahoensis Clokey
Isothecium Moss,Brachytheciaceae,Isothecium cristatum (Hampe) H. Rob.
Bentgrass,Poaceae,Agrostis castellana Boiss. & Reuter
Japanese Lovegrass,Poaceae,Eragrostis amabilis (L.) Wight & Arn. ex Nees
Manyflower Beardtongue,Scrophulariaceae,Penstemon multiflorus Chapm. ex Benth.
Isothecium Moss,Brachytheciaceae,Isothecium obtusatulum Kindb.
Tropical Desert-thorn,Solanaceae,Lycium tweedianum Griseb. var. tweedianum Griseb. [excluded]
Giant Salvinia,Salviniaceae,Salvinia biloba Raddi
Napaea,Malvaceae,Napaea L.
Melanelia Lichen,Parmeliaceae,Melanelia fuliginosa (Fr. ex Duby) Essl.
Black Spruce,Pinaceae,"Picea mariana (Mill.) Britton, Sterns & Poggenb."
Wain's Cup Lichen,Cladoniaceae,Cladonia wainioi Savicz
Grimmia Dry Rock Moss,Grimmiaceae,Grimmia elongata Kaulf.
Distinct Hawthorn,Rosaceae,Crataegus distincta Kruschke
Contorted Skin Lichen,Collemataceae,Leptogium contortum Sierk
Zinnia,Asteraceae,Zinnia L.
Macdougal's Nipple Cactus,Cactaceae,Mammillaria heyderi Muehlenpf. var. macdougalii (Rose) L.D. Benson
Fourleaf Buchenavia,Combretaceae,Buchenavia tetraphylla (Aubl.) Howard
Wheat,Poaceae,Triticum araraticum Jakubz.
Dwarf Alpine Hawksbeard,Asteraceae,Crepis nana Richardson ssp. clivicola Leggett
Wild Bushbean,Fabaceae,Macroptilium lathyroides (L.) Urb. var. semierectum (L.) Urb.
White Eucalyptus,Myrtaceae,Eucalyptus alba Reinw. ex Blume
Slimspike Windmill Grass,Poaceae,Chloris andropogonoides Fourn.
Texas Sleepydaisy,Asteraceae,Xanthisma texanum DC.
Lemmon's Milkweed,Asclepiadaceae,Asclepias lemmonii A. Gray
Halifax Blackberry,Rosaceae,Rubus russeus L.H. Bailey
Brown Flatsedge,Cyperaceae,Cyperus fuscus L.
Hinckley's Spreadwing,Apiaceae,Eurytaenia hinckleyi Mathias & Constance
Krug's Roughleaf,Melastomataceae,Leandra krugiana (Cogn.) W.S. Judd & Skean
Oriental Yellowcress,Brassicaceae,Rorippa curvisiliqua (Hook.) Besser ex Britton var. orientalis R. Stuckey
Gum Tragacanth Milkvetch,Fabaceae,Astragalus gummifer Labill.
Philonotis Moss,Bartramiaceae,Philonotis longiseta (Michx.) E. Britton
Kihifern,Grammitidaceae,Adenophorus ×carsonii T.A. Ranker
Tree Aenium,Crassulaceae,Aeonium arboreum (L.) Webb & Berthel.
Mink Hawthorn,Rosaceae,Crataegus dispessa Ashe
Clubbed Creepingfern,Dennstaedtiaceae,Odontosoria clavata L.
Northern Bush Honeysuckle,Caprifoliaceae,Diervilla lonicera Mill.
Redhot Poker,Liliaceae,Kniphofia uvaria (L.) Oken
Warnstorfia Moss,Amblystegiaceae,Warnstorfia trichophylla (Warnst.) Tuom. & T. Kop.
Mexican Plantain,Plantaginaceae,Plantago australis Lam. ssp. hirtella (Kunth) Rahn
Jacob's-ladder,Polemoniaceae,Polemonium pulcherrimum Hook. ssp. delicatum (Rydb.) Brand
Woolly Blackberry,Rosaceae,Rubus tomentosus Borkh.
Waterwort,Elatinaceae,Elatine L.
Rooted Poppy,Papaveraceae,Papaver radicatum Rottb. ssp. alaskanum (Hultén) J.P. Anderson
Oldfield Blackberry,Rosaceae,Rubus alumnus L.H. Bailey
San Clemente Island Milkvetch,Fabaceae,Astragalus nevinii A. Gray
Tropical Lilythorn,Rubiaceae,Catesbaea melanocarpa Krug & Urb.
Birdbill Dayflower,Commelinaceae,Commelina dianthifolia Delile var. dianthifolia
Blueflower Eryngo,Apiaceae,Eryngium integrifolium Walter
Seaside Alkaligrass,Poaceae,Puccinellia maritima (Huds.) Parl.
Dock,Polygonaceae,Rumex ×confusus Simonkai
Woolly Rosette Grass,Poaceae,Dichanthelium scabriusculum (Elliott) Gould & C.A. Clark
Lemmon's Willow,Salicaceae,Salix lemmonii Bebb
Sierra Nevada Linanthus,Polemoniaceae,Leptosiphon oblanceolatus (Brand) J.M. Porter & L.A. Johnson
Sclerolinon,Linaceae,Sclerolinon C.M. Rogers
Engelmann's Hedgehog Cactus,Cactaceae,Echinocereus engelmannii (Parry ex Engelm.) Lem. var. acicularis L.D. Benson
Ctenidium Moss,Hypnaceae,Ctenidium malacodes Mitt.
Colombian Rockcap Fern,Polypodiaceae,Pecluma camptophyllaria (Fée) M.G. Price
Delissea,Campanulaceae,Delissea Gaudich.
Panamint Liveforever,Crassulaceae,Dudleya saxosa (M.E. Jones) Britton & Rose ssp. aloides (Rose) Moran
Pincushion,Asteraceae,Chaenactis DC.
Lemmon's Sedge,Cyperaceae,Carex lemmonii W. Boott
Perplexed Rim Lichen,Lecanoraceae,Lecanora perplexa Brodo
Candelina Lichen,Candelariaceae,Candelina submexicana (de Lesd.) Poelt
Beard Lichen,Parmeliaceae,Usnea glabrescens (Nyl. ex Vain.) Vain.
Mauna Loa Beggarticks,Asteraceae,Bidens menziesii (A. Gray) Sherff
Pyrrhospora Lichen,Lecanoraceae,Pyrrhospora quernea (Dicks.) Körb.
Naked Buckwheat,Polygonaceae,Eriogonum nudum Douglas ex Benth. var. pauciflorum S. Watson
Mountain-ash,Myrtaceae,Eucalyptus regnans F. Muell.
Lady Tulip,Liliaceae,Tulipa clusiana DC.
Plantainleaf Halberd Fern,Dryopteridaceae,Tectaria plantaginea (Jacq.) Maxon
Yellow Jacob's-ladder,Polemoniaceae,Polemonium foliosissimum A. Gray var. flavum (Greene) Anway
Adobe Hills Beardtongue,Scrophulariaceae,Penstemon retrorsus Payson ex Pennell
East African Copal,Fabaceae,Hymenaea verrucosa Gaertn.
Spinach,Chenopodiaceae,Spinacia L.
Estrella De Mar,Asteraceae,Pallenis maritima Greuter
Olapalapa,Araliaceae,Cheirodendron trigynum (Gaudich.) A. Heller ssp. helleri (Sherff) Lowry
Heath Teatree,Myrtaceae,Leptospermum myrsinoides Schltdl.
Chamisso's Manfern,Dicksoniaceae,Cibotium chamissoi Kaulf.
Molokai False Lobelia,Campanulaceae,Trematolobelia rockii H. St. John
Broadleaf Beardtongue,Scrophulariaceae,Penstemon platyphyllus Rydb.
Cambustera De Costa,Convolvulaceae,Jacquemontia solanifolia (L.) Hallier
Hardgrass,Poaceae,Sclerochloa P. Beauv.
Sudangrass,Poaceae,Sorghum bicolor (L.) Moench ssp. drummondii (Nees ex Steud.) de Wet & Harlan
Violet-lily,Iridaceae,Calydorea Herb.
Buffalo Clover,Fabaceae,Trifolium reflexum L.
Dot Lichen,Arthoniaceae,Arthonia glaucescens Nyl.
Enchanter's Nightshade,Onagraceae,Circaea L.
Fragrant Ash,Oleaceae,Fraxinus cuspidata Torr.
Sticky Tansyaster,Asteraceae,Machaeranthera viscida (Wooton & Standl.) R.L. Hartm.
Siskiyou Monardella,Lamiaceae,Monardella siskiyouensis Hardham
Scrambling Nightshade,Solanaceae,Solanum tampicense Dunal
Greater Yellowspike Orchid,Orchidaceae,Polystachya concreta (Jacq.) Garay & H.R. Sweet
Beautiful Cinquefoil,Rosaceae,Potentilla pulcherrima Lehm.
King Orchid,Orchidaceae,Broughtonia domingensis (Lindl.) Rolfe
Dimple Lichen,Gyalectaceae,Gyalecta foveolaris (Ach.) Schaerer
Florida Star Orchid,Orchidaceae,Epidendrum floridense Hágsater
Purple Reedgrass,Poaceae,Calamagrostis purpurascens R. Br. var. purpurascens
Barneby's Phacelia,Hydrophyllaceae,Phacelia barnebyana J.T. Howell
Pagumpa Milkvetch,Fabaceae,Astragalus ensiformis M.E. Jones var. gracilior Barneby
Yellow Rabbitbrush,Asteraceae,Chrysothamnus viscidiflorus (Hook.) Nutt. ssp. viscidiflorus
Julia's Goldenrod,Asteraceae,Solidago juliae G.L. Nesom
Russian Milkvetch,Fabaceae,Astragalus falcatus Lam.
Jointfir,Ephedraceae,Ephedra distachya L.
Wassuk Range Bladderpod,Brassicaceae,Lesquerella cordiformis (Rollins) Rollins & Shaw
Wagner's Cyrtandra,Gesneriaceae,Cyrtandra wagneri Lorence & Perlman
Sartwell's Sedge,Cyperaceae,Carex sartwellii Dewey
Rubber Rabbitbrush,Asteraceae,Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird ssp. consimilis (Greene) G.L. Nesom & Baird var. nitida (L.C. Anderson) G.L. Nesom & Baird
Fringed Dodder,Cuscutaceae,Cuscuta suaveolens Ser.
Crown Tickseed,Asteraceae,Coreopsis nuecensis A. Heller
Slender Phlox,Polemoniaceae,Microsteris gracilis (Hook.) Greene var. humilior (Hook.) Cronquist
Chihuahuan Beehive,Cactaceae,Neolloydia conoidea (DC.) Britton & Rose
Baltimora,Asteraceae,Baltimora L.
Velvetleaf,Menispermaceae,Cissampelos pareira L.
Coastal Searocket,Brassicaceae,Cakile lanceolata (Willd.) O.E. Schulz ssp. fusiformis (Greene) Rodman
Seaside Goldenrod,Asteraceae,Solidago sempervirens L.
Funaria Moss,Funariaceae,Funaria calvescens Schwägr.
Smooth Aster,Asteraceae,Eucephalus glabratus (Greene) Greene
Sprawling Signalgrass,Poaceae,Urochloa reptans (L.) Stapf
Chiricahua Fleabane,Asteraceae,Erigeron kuschei Eastw.
Sensitive Jointvetch,Fabaceae,Aeschynomene sensitiva Sw. var. sensitiva
Wallangarra Wattle,Fabaceae,Acacia adunca A. Cunn. ex G. Don
Haleakala Catchfly,Caryophyllaceae,Silene cryptopetala Hillebr.
Western Marsh Cudweed,Asteraceae,Gnaphalium palustre Nutt.
Eared Flatsedge,Cyperaceae,Cyperus auriculatus Nees & Meyen ex Kunth
Porsild's Bluegrass,Poaceae,Poa porsildii Gjaerev.
Prairie Pleatleaf,Iridaceae,Nemastylis geminiflora Nutt.
Kauai Pricklyash,Rutaceae,Zanthoxylum kauaense A. Gray
Pale Phacelia,Hydrophyllaceae,Phacelia pallida I.M. Johnst.
Puerto Rico Peperomia,Piperaceae,Peperomia portoricensis Urb.
Pentapetes,Sterculiaceae,Pentapetes L.
Welsh's Phacelia,Hydrophyllaceae,Phacelia welshii N.D. Atwood
Ragwort,Asteraceae,Packera Á. Löve & D. Löve
Drummond's Skullcap,Lamiaceae,Scutellaria drummondii Benth. var. drummondii
Redstem Springbeauty,Portulacaceae,Claytonia rubra (Howell) Tidestr. ssp. depressa (A. Gray) John M. Mill. & K.L. Chambers
Curvedleaf Ulota Moss,Orthotrichaceae,Ulota curvifolia (Wahlenb.) Lilj.
Loeskypnum Moss,Amblystegiaceae,Loeskypnum badium (Hartm.) Paul
Claspleaf Pennycress,Brassicaceae,Microthlaspi perfoliatum (L.) F.K. Mey.
Hairy Milkweed,Asclepiadaceae,Funastrum hirtellum (A. Gray) Schltr.
Scaly Blazing Star,Asteraceae,Liatris squarrosa (L.) Michx. var. hirsuta (Rydb.) Gaiser
Boise Milkvetch,Fabaceae,Astragalus adanus A. Nelson
Nevada Blazingstar,Loasaceae,Mentzelia dispersa S. Watson var. compacta (A. Nelson) J.F. Macbr.
Rosinweed,Asteraceae,Silphium L.
Gymnoderma Lichen,Cladoniaceae,Gymnoderma Nyl.
Guard Withe,Bignoniaceae,Cydista aequinoctialis (L.) Miers
Herb Of Gilead,Lamiaceae,Cedronella canariensis (L.) Willd. ex Webb & Bethel.
Twintip,Scrophulariaceae,Stemodia L.
Psilolechia Lichen,Micareaceae,Psilolechia lucida (Ach.) M. Choisy
Orange Lichen,Teloschistaceae,Caloplaca obliterans (Nyl.) Blomb. & Forss.
Norwegia Angelica,Apiaceae,Angelica archangelica L. ssp. norvegica (Rupr.) Nordh.
Alaskan Wheatgrass,Poaceae,Elymus alaskanus (Scribn. & Merr.) Á. Löve
Desert Almond,Rosaceae,Prunus fasciculata (Torr.) A. Gray
Cliff Stonecrop,Crassulaceae,Sedum glaucophyllum R.T. Clausen
Blue Windflower,Ranunculaceae,Anemone oregana A. Gray
Big Bend Ringstem,Nyctaginaceae,Anulocaulis eriosolenus (A. Gray) Standl.
Caribbean Canna,Cannaceae,Canna jaegeriana Urb.
Sphinctrina Lichen,Sphinctrinaceae,Sphinctrina anglica Nyl.
Santa Barbara Milkvetch,Fabaceae,Astragalus trichopodus (Nutt.) A. Gray var. lonchus (M.E. Jones) Barneby
Sweetflower Rockjasmine,Primulaceae,Androsace chamaejasme Wulfen
Bougainvillea,Nyctaginaceae,Bougainvillea Comm. ex Juss.
Elizabeth's Pepperweed,Brassicaceae,Lepidium montanum Nutt. var. neeseae S.L. Welsh & Reveal
Mycoporum Lichen,Mycoporaceae,Mycoporum Flotow ex Nyl.
Kaempfer's Glorybower,Verbenaceae,Clerodendrum kaempferi (Jacq.) Siebold
Parmelinopsis,Parmeliaceae,Parmelinopsis spumosa (Asah.) Elix & Hale
Steeplebush,Rosaceae,Spiraea tomentosa L.
Jones' Beardtongue,Scrophulariaceae,Penstemon dolius M.E. Jones ex Pennell var. dolius
Spindleroot,Onagraceae,Ludwigia hirtella Raf.
Tufted Fescue,Poaceae,Festuca airoides Lam. [excluded]
Dot Lichen,Arthoniaceae,Arthonia impallens Nyl.
Southern Bladderwort,Lentibulariaceae,Utricularia juncea Vahl
Yellow Blanketflower,Asteraceae,Gaillardia flava Rydb.
Homalotheciella Moss,Brachytheciaceae,Homalotheciella (Cardot) Broth.
Greene's Milkweed,Asclepiadaceae,Asclepias californica Greene ssp. greenei Woodson
Plumeless Thistle,Asteraceae,Carduus L.
Zacale,Poaceae,Bouteloua diversispicula J.T. Columbus
Guirado Goldenrod,Asteraceae,Solidago guiradonis A. Gray
San Diego Raspberry,Rosaceae,Rubus glaucifolius Kellogg
Mongolian Pride-of-rochester,Hydrangeaceae,Deutzia parviflora Bunge
Manyseed Goosefoot,Chenopodiaceae,Chenopodium polyspermum L. var. acutifolium (Sm.) Gaudich.
Adonis Blazingstar,Loasaceae,Mentzelia multiflora (Nutt.) A. Gray
Beach Sensitive Pea,Fabaceae,Chamaecrista chamaecristoides (Collad.) Greene var. cruziana (Britton & Rose) Irwin & Barneby
Narrowleaf Hoarypea,Fabaceae,Tephrosia angustissima Shuttlw. ex Chapm. var. corallicola (Small) Isely
Tapellaria Lichen,Ectolechiaceae,Tapellaria bilimbioides R. Sant.
Distaff Thistle,Asteraceae,Carthamus L.
Honeylocust,Fabaceae,Gleditsia triacanthos L.
Fall Tansyaster,Asteraceae,Machaeranthera asteroides (Torr.) Greene var. lagunensis (D.D. Keck) B.L. Turner
Coville's Phlox,Polemoniaceae,Phlox covillei E.E. Nelson
Ivyleaf Morning-glory,Convolvulaceae,Ipomoea hederacea Jacq.
Stephens' Penstemon,Scrophulariaceae,Penstemon stephensii Brandegee
Slender Goldenweed,Asteraceae,Machaeranthera gracilis (Nutt.) Shinners
Hawai'i Umbrella Fern,Gleicheniaceae,Sticherus owhyensis (Hook.) Ching
Sweetroot Springparsley,Apiaceae,Cymopterus newberryi (S. Watson) M.E. Jones
Largeflower Speedwell,Scrophulariaceae,Veronica grandiflora Gaertn.
Alpine Leafybract Aster,Asteraceae,Symphyotrichum foliaceum (Lindl. ex DC.) G.L. Nesom var. foliaceum
Gland Indian Paintbrush,Scrophulariaceae,Castilleja glandulifera Pennell
Fiveflower Rockdaisy,Asteraceae,Perityle quinqueflora (Steyerm.) Shinners
Dogtooth Noseburn,Euphorbiaceae,Tragia amblyodonta (Müll. Arg.) Pax & K. Hoffm.
Sphagnum,Sphagnaceae,Sphagnum obtusum Warnst.
Drywoods Miterwort,Saxifragaceae,Mitella stauropetala Piper var. stenopetala (Piper) Rosend.
Grape Ivy,Vitaceae,Cissus rhombifolia Vahl
Alabama Maiden Fern,Thelypteridaceae,Thelypteris pilosa (M. Martens & Galeotti) Crawford var. alabamensis Crawford
Kerria,Rosaceae,Kerria DC.
Coulter's Matilija Poppy,Papaveraceae,Romneya coulteri Harv.
Spurry,Caryophyllaceae,Spergula L.
Eucalyptus,Myrtaceae,Eucalyptus spathulata Hook. ssp. spathulata
Richardson's Penstemon,Scrophulariaceae,Penstemon richardsonii Douglas ex Lindl. var. richardsonii
Muellerella Lichen,Verrucariaceae,Muellerella lichenicola (Sommerf. ex Fr.) D. Hawksw.
Coues' Cassia,Fabaceae,Senna covesii (A. Gray) Irwin & Barneby
Bride's Bonnet,Liliaceae,Clintonia uniflora (Menzies ex Schult. & Schult. f.) Kunth
Guayabota De Fajardo,Myrtaceae,Eugenia fajardensis (Krug & Urb.) Urb.
Slender Rattlesnakeroot,Asteraceae,Prenanthes autumnalis Walter
Mojave Mound Cactus,Cactaceae,Echinocereus polyacanthus Engelm.
Oatgrass,Poaceae,Trisetum Pers.
Tepic Flameflower,Portulacaceae,Phemeranthus parvulus (Rose & Standl.) D.J. Ferguson & T.M. Price
Pink Shower,Fabaceae,Cassia grandis L. f.
Hypopterygium Moss,Hypopterygiaceae,Hypopterygium tamariscinum (Hedw.) Brid.
Modoc Gilia,Polemoniaceae,Gilia modocensis Eastw.
Rareflower Heterocodon,Campanulaceae,Heterocodon rariflorum Nutt.
Fairybit Maiden Fern,Thelypteridaceae,Thelypteris abrupta (Desv.) Proctor
Egyptian Spleenwort,Aspleniaceae,Asplenium aethiopicum (N.L. Burm.) Bech.
Yellow Willow,Salicaceae,Salix lutea Nutt.
Iris,Iridaceae,Iris ×robusta E.S. Anderson
Barbella Moss,Meteoriaceae,Barbella Fleisch.
Marshland Goosefoot,Chenopodiaceae,Chenopodium humile Hook.
Hairpin Banksia,Proteaceae,Banksia spinulosa Sm.
Texas Selenia,Brassicaceae,Selenia dissecta Torr. & A. Gray
Simple Campion,Caryophyllaceae,Silene scouleri Hook.
Spotted Water Hemlock,Apiaceae,Cicuta maculata L.
Purple Coneflower,Asteraceae,Echinacea Moench
Black Booyong,Sterculiaceae,Heritiera actinophylla (F.M. Bailey) Kosterm.
Robison's Monardella,Lamiaceae,Monardella robisonii Epling ex Munz
Pineland Rayless Goldenrod,Asteraceae,Bigelowia nudata (Michx.) DC.
Acid-loving Sedge,Cyperaceae,Carex acidicola Naczi
Abrams' Liveforever,Crassulaceae,Dudleya abramsii Rose ssp. abramsii
Awnless Leastdaisy,Asteraceae,Chaetopappa imberbis (A. Gray) G.L. Nesom
San Angelo Yucca,Agavaceae,Yucca reverchonii Trel.
Cuban Jute,Malvaceae,Sida rhombifolia L.
Crinklemat,Boraginaceae,Tiquilia Pers.
Cedar Sedge,Cyperaceae,Carex planostachys Kunze
Longleaf Phlox,Polemoniaceae,Phlox longifolia Nutt. ssp. brevifolia (A. Gray) H. Mason
Hypopterygium Moss,Hypopterygiaceae,Hypopterygium Brid.
Hachuela,Orchidaceae,Pelexia adnata (Sw.) Spreng.
Sapphire Woollystar,Polemoniaceae,Eriastrum sapphirinum (Eastw.) H. Mason ssp. sapphirinum
Cyrtandra,Gesneriaceae,Cyrtandra ×christophersenii H. St. John & Storey (pro sp.)
Northern Moonwort,Ophioglossaceae,Botrychium boreale Milde
Brickellbush,Asteraceae,Asanthus R.M. King & H. Rob.
Hawai'i Bristle Fern,Hymenophyllaceae,Trichomanes draytonianum Brack.
Coast Cockspur Grass,Poaceae,Echinochloa walteri (Pursh) A. Heller
Berlandier's Hedgehog Cactus,Cactaceae,Echinocereus berlandieri (Engelm.) Haage
Arkansas Ironweed,Asteraceae,Vernonia arkansana DC.
Wingpod Purslane,Portulacaceae,Portulaca umbraticola Kunth ssp. coronata (Small) Matthews & Ketron
Ant Tree,Polygonaceae,Triplaris Loefl. ex L.
Slendertube Skyrocket,Polemoniaceae,Ipomopsis tenuituba (Rydb.) V.E. Grant ssp. latiloba V.E. Grant & Wilken
Slender Chickweed,Caryophyllaceae,Cerastium gracile Dufour
Narcissus Anemone,Ranunculaceae,Anemone narcissiflora L.
Wart Lichen,Pyrenulaceae,Pyrenula concatervans (Nyl.) R.C. Harris
Sticky Tofieldia,Liliaceae,Triantha occidentalis (S. Watson) Gates ssp. montana (C.L. Hitchc.) Packer
Abietenella Moss,Thuidiaceae,Abietinella Müll. Hal.
Anil Falso,Fabaceae,Coursetia caribaea (Jacq.) Lavin var. sericea (A. Gray) Lavin
Hornwort,Anthocerotaceae,Anthoceros fusiformis Austin
Script Lichen,Graphidaceae,Graphis insidiosa (C. Knight & Mitt.) Hook. f.
Skin Lichen,Collemataceae,Leptogium hypotrachynum Müll. Arg.
Balloon Sack Clover,Fabaceae,Trifolium depauperatum Desv. var. amplectens (Torr. & A. Gray) S. Watson
Teloschistes Lichen,Teloschistaceae,Teloschistes flavicans (Sw.) Norman
Everlasting,Asteraceae,Gamochaeta Weddell
Hairy Forked Nailwort,Caryophyllaceae,Paronychia fastigiata (Raf.) Fernald var. fastigiata
Fiddleleaf Fig,Moraceae,Ficus lyrata Warb.
Wild Quinine,Asteraceae,Parthenium auriculatum Britton
Snowqueen,Scrophulariaceae,Synthyris reniformis (Douglas ex Benth.) Benth. var. reniformis
Mt. Albert Goldenrod,Asteraceae,Solidago simplex Kunth ssp. simplex var. simplex
Goodman's Buckwheat,Polygonaceae,Eriogonum umbellatum Torr. var. goodmanii Reveal
Creeping Bedgrass,Poaceae,Ichnanthus nemorosus (Sw.) Döll
Canoparmelia Lichen,Parmeliaceae,Canoparmelia crozalsiana (de Lesd.) Elix & Hale
Cleveland's Spineflower,Polygonaceae,Chorizanthe clevelandii Parry
Falseteeth,Capparaceae,Capparis flexuosa (L.) L.
Cape Thompson Draba,Brassicaceae,Draba chamissonis G. Don
Starveling Milkvetch,Fabaceae,Astragalus jejunus S. Watson var. articulatus Dorn
Florida Jujube,Rhamnaceae,Ziziphus celata W.S. Judd & D.W. Hall
Kaibab Plateau Indian Paintbrush,Scrophulariaceae,Castilleja kaibabensis N.H. Holmgren
Fragrant Fritillary,Liliaceae,Fritillaria liliacea Lindl.
Tonopah Milkvetch,Fabaceae,Astragalus pseudiodanthus Barneby
Sierra Stonecrop,Crassulaceae,Sedum obtusatum A. Gray ssp. retusum (Rose) R.T. Clausen
Douglas' Dustymaiden,Asteraceae,Chaenactis douglasii (Hook.) Hook. & Arn.
Colorado Starwort,Caryophyllaceae,Stellaria irrigua Bunge
Kahika,Podocarpaceae,Dacrycarpus dacrydioides (A. Rich.) de Laub.
Newberry's Yucca,Agavaceae,Hesperoyucca newberryi (McKelvey) Clary
Iron Fern,Dryopteridaceae,Rumohra adiantiformis (G. Forst.) Ching
Stanhopea,Orchidaceae,Stanhopea J. Frost ex Hook.
Creepingroot Violet,Violaceae,Viola canadensis L. var. rugulosa (Greene) C.L. Hitchc.
Wyoming Townsend Daisy,Asteraceae,Townsendia alpigena Piper var. caelilinensis (S.L. Welsh) Kartesz & Gandhi
Kokee Colicwood,Myrsinaceae,Myrsine knudsenii (Rock) Hosaka
Upright Spurge,Euphorbiaceae,Euphorbia stricta L.
Slender False Buttonweed,Rubiaceae,Spermacoce tenuior L.
Black Huckleberry,Ericaceae,Gaylussacia baccata (Wangenh.) K. Koch
Ditrichum Moss,Ditrichaceae,Ditrichum flexicaule (Schwägr.) Hampe
Cliff Bedstraw,Rubiaceae,Galium correllii Dempster
Alfalfa,Fabaceae,Medicago sativa L.
Trailing Pearlwort,Caryophyllaceae,Sagina decumbens (Elliott) Torr. & A. Gray
Near Navarretia,Polemoniaceae,Navarretia intertexta (Benth.) Hook. ssp. propinqua (Suksd.) Day
Carson Range Rockcress,Brassicaceae,Arabis tiehmii Rollins
Mountain Ball Cactus,Cactaceae,Pediocactus simpsonii (Engelm.) Britton & Rose var. minor (Engelm.) Cockerell
Parry's Alpinegold,Asteraceae,Hulsea vestita A. Gray ssp. parryi (A. Gray) Wilken
Pink Woodsorrel,Oxalidaceae,Oxalis debilis Kunth
Solidstem Burnet Saxifrage,Apiaceae,Pimpinella saxifraga L. ssp. saxifraga
